Date,Barcelona_Fabra Daily Rainfall [mm],Barcelona Daily Rainfall [mm],Sabadell_Aero Daily Rainfall [mm],Garriga Discharge [m^3],Castellar Discharge [m^3],Llica Discharge [m^3],Montornes Discharge [m^3],Mogoda Discharge [m^3],Gramenet Discharge [m^3]
1/22/2003,0,0,0,0.212,0.0282,0.132,0.3765,0.106,3.8531
1/23/2003,0,0,0,0.201,0.0275,0.127,0.374,0.097,3.8248
1/24/2003,0,0,0,0.192,0.025,0.125,0.3718,0.094,3.7537
1/25/2003,0,0,0,0.192,0.0276,0.124,0.3684,0.097,3.593
1/26/2003,0,0,0,0.183,0.0307,0.121,0.363,0.09,3.3292
1/27/2003,0,0,0,0.183,0.0202,0.116,0.3567,0.081,3.4093
1/28/2003,0,0,,0.222,0.0193,0.118,0.3616,0.085,3.6273
1/29/2003,0,0,,0.183,0.0225,0.12,0.3644,0.094,3.7451
1/30/2003,0,0,,0.192,0.0235,0.077,0.363,0.104,3.4239
1/31/2003,0,0,,0.187,0.0245,0.076,0.3539,0.24,3.6944
2/1/2003,0,0,,0.183,0.0261,0.074,0.3422,0.195,3.1592
2/2/2003,0,0,,0.172,0.024,0.073,0.3396,0.186,2.9032
2/3/2003,0,0,,0.157,0.0253,0.072,0.3319,0.118,3.2394
2/4/2003,0,0,0,0.161,0.0183,0.07,0.3168,0.064,3.4481
2/5/2003,0,0,0,0.159,0.0186,0.066,0.3308,0.077,3.2706
2/6/2003,0,0,0,0.159,0.0223,0.065,0.3181,0.056,3.1497
2/7/2003,0,0,0,0.145,0.0247,0.063,0.3124,0.056,3.2968
2/8/2003,0,0,0.1,0.137,0.0229,0.065,0.3083,0.048,2.7691
2/9/2003,,0,0,0.133,0.0215,0.064,0.2927,0.044,2.5629
2/10/2003,0,0,0,0.133,0.0195,0.059,0.3148,0.043,2.9599
2/11/2003,0,0,0,0.133,0.0213,0.05,0.3049,0.044,2.998
2/12/2003,0.6,0.1,0.8,0.141,0.0249,0.053,0.3571,0.046,3.1597
2/13/2003,27,21,19.1,0.151,0.0234,0.053,0.3287,0.056,4.2208
2/14/2003,4.2,3.2,1.5,0.145,0.0277,0.053,0.332,0.085,4.8252
2/15/2003,0.2,0,0.5,0.133,0.029,0.037,0.305,0.06,3.0068
2/16/2003,0,0,0.2,0.131,0.0258,0.034,0.2921,0.048,2.6047
2/17/2003,0.7,0,0.6,0.127,0.0272,0.02,0.2877,0.052,2.9438
2/18/2003,1.4,1.2,,0.139,0.0254,0.031,0.3353,0.077,3.5157
2/19/2003,23.3,14.1,,0.261,0.0364,0.091,0.7245,0.324,5.4025
2/20/2003,15.7,8.3,,1.393,0.1823,0.226,1.806,1.01,22.9492
2/21/2003,,0,,1.589,0.0631,0.226,1.4191,0.461,17.8199
2/22/2003,2.2,4.6,4.6,1.215,0.0511,0.203,1.2444,0.195,7.0729
2/23/2003,0,0,0.3,0.97,0.0434,0.198,1.0479,0.148,5.7063
2/24/2003,2.2,1,1.7,0.783,0.0414,0.199,1.1146,0.138,5.7638
2/25/2003,34.7,16.7,28.8,0.854,0.0632,0.22,1.0715,0.61,9.14
2/26/2003,29,7.5,,19.776,7.8808,0.455,4.6426,2.501,86.3216
2/27/2003,13.3,9.1,,11.888,2.8252,0.415,11.8325,3.586,86.4959
2/28/2003,0,0,,2.611,0.4055,0.3,2.8317,1.563,28.013
3/1/2003,0,0,0,1.879,0.1373,0.257,1.6425,1.063,17.6048
3/2/2003,0,0,0,1.526,0.1094,0.219,1.5374,0.706,7.8734
3/3/2003,0,0,,1.383,0.097,0.181,1.4955,0.573,7.8325
3/4/2003,0,11.5,,1.235,0.0883,0.17,1.4549,0.49,7.5115
3/5/2003,0.3,11.7,0.5,1.185,0.0939,0.17,1.4678,0.465,7.5726
3/6/2003,0,0,0,1.092,0.0882,0.17,1.4152,0.39,7.3248
3/7/2003,0,0,0,1.016,0.0817,0.17,1.3724,0.36,6.983
3/8/2003,0,0,0,0.867,0.0808,0.17,1.3672,0.313,6.4419
3/9/2003,0,0,0,0.738,0.0775,0.17,1.3243,0.286,6.0365
3/10/2003,0,0,0,0.679,0.0712,0.17,1.2717,0.276,6.2801
3/11/2003,0,0,,0.641,0.0683,0.17,1.2047,0.276,6.1715
3/12/2003,0,0,,0.609,0.0661,0.17,1.1491,0.243,6.1027
3/13/2003,0,0,0,0.546,0.0628,0.17,1.1025,0.225,5.8266
3/14/2003,0,0,0,0.507,0.0623,0.17,1.0386,0.207,5.6244
3/15/2003,2.7,0,1.9,0.474,0.0638,0.17,0.9718,0.201,5.4682
3/16/2003,0,0,0,0.407,0.0658,0.17,0.8979,0.216,5.0626
3/17/2003,0,0,0,0.395,0.0636,0.17,0.7188,0.207,5.1862
3/18/2003,0,0,0,0.413,0.0633,0.17,0.6759,0.189,5.1046
3/19/2003,0,0,0,0.38,0.0629,0.17,0.6776,0.184,5.1065
3/20/2003,0,0,,0.371,0.0585,0.17,0.6634,0.181,5.0217
3/21/2003,0,0,,0.38,0.059,0.17,0.9236,0.153,5.1509
3/22/2003,0,0,0,0.342,0.0555,0.17,0.8544,0.148,4.8651
3/23/2003,0,0,0,0.325,0.0538,0.17,0.6172,0.135,4.4748
3/24/2003,0,0,0,0.317,0.0526,0.17,0.4744,0.13,4.4896
3/25/2003,0,0,0,0.311,0.053,0.17,0.5071,0.133,4.6539
3/26/2003,0,0,0,0.311,0.0543,0.17,0.9316,0.13,5.0472
3/27/2003,1.9,0.8,2.8,0.317,0.0488,0.163,1.0559,0.135,5.1775
3/28/2003,8.2,2,10,0.536,0.0755,0.163,1.1437,0.313,6.7569
3/29/2003,0,0.1,10.3,0.604,0.0668,0.163,1.2585,0.303,6.3654
3/30/2003,2.3,2.4,1.3,0.423,0.0557,0.163,1.0982,0.207,5.5142
3/31/2003,0.4,1.1,1.3,0.395,0.0573,0.163,1.0313,0.21,5.4785
4/1/2003,0,0,0,0.362,0.055,0.163,1.1596,0.186,5.5266
4/2/2003,0.7,2.1,0,0.368,0.0569,0.163,1.2005,0.178,5.4983
4/3/2003,0,0,0,0.413,0.0509,0.159,1.1691,0.151,5.3947
4/4/2003,0,0,0,0.322,0.0454,0.158,1.0301,0.135,5.12
4/5/2003,0,0,0,0.292,0.0428,0.149,0.7731,0.125,4.538
4/6/2003,0,0,0,0.264,0.0424,0.143,0.6666,0.094,4.011
4/7/2003,0,0,0,0.259,0.0438,0.141,0.6822,0.101,4.4422
4/8/2003,,0,0,0.274,0.0471,0.124,0.5755,0.101,4.3209
4/9/2003,7.8,5.8,8.5,0.259,0.0503,0.129,0.5091,0.101,4.3651
4/10/2003,0,0,2.2,0.59,0.0542,0.195,0.9814,0.397,6.9762
4/11/2003,0,0,0,0.325,0.0462,0.151,1.0308,0.153,4.7063
4/12/2003,0,0,0,0.282,0.0497,0.147,0.7712,0.113,4.0917
4/13/2003,0,0,0,0.259,0.044,0.141,0.513,0.101,3.3622
4/14/2003,3.1,0,1.1,0.251,0.0505,0.145,0.6791,0.09,4.1972
4/15/2003,,0.1,0.1,0.259,0.0454,0.139,0.9367,0.113,4.6669
4/16/2003,0,0,0,0.251,0.0406,0.12,0.7308,0.104,4.1661
4/17/2003,0,0,0,0.241,0.0393,0.11,0.6765,0.052,3.7335
4/18/2003,0,0,0,0.241,0.0391,0.058,0.6443,0.044,3.2143
4/19/2003,3.6,2.3,0.3,0.241,0.0444,0.042,0.6195,0.046,3.1846
4/20/2003,1.3,0.6,0.2,0.241,0.0461,0.042,0.6559,0.075,3.3797
4/21/2003,0,0,0,0.241,0.0426,0.042,0.5946,0.066,3.3428
4/22/2003,0,0,,0.236,0.0436,0.042,0.7025,0.066,3.8102
4/23/2003,0,0,,0.234,0.0461,0.042,0.8112,0.048,3.9744
4/24/2003,0,0,0,0.236,0.0439,0.041,0.9814,0.043,4.2112
4/25/2003,0,0,0,0.231,0.0416,0.041,0.7137,0.052,3.8929
4/26/2003,,0,0,0.231,0.045,0.041,0.6639,0.066,3.5835
4/27/2003,0,0,0,0.227,0.04,0.04,0.6139,0.041,3.3338
4/28/2003,0,0,0,0.222,0.0333,0.041,0.5852,0.032,3.628
4/29/2003,,0,0.3,0.203,0.0383,0.04,0.6306,0.031,3.7284
4/30/2003,0,0,0,0.194,0.0398,0.04,0.6626,0.03,3.7164
5/1/2003,,0,0.3,0.19,0.0347,0.041,0.5837,0.029,3.2744
5/2/2003,0,0,0,0.205,0.0384,0.041,0.5849,0.027,3.2243
5/3/2003,0,0,0,0.205,0.0387,0.041,0.5823,0.024,3.1091
5/4/2003,0,0,0,0.205,0.0333,0.042,0.605,0.023,3.111
5/5/2003,2.1,0.5,0.6,0.201,0.041,0.043,0.6245,0.022,3.5989
5/6/2003,18.4,5.8,8.3,0.196,0.0485,0.044,0.6362,0.029,3.8087
5/7/2003,1.1,0.4,1.1,0.285,0.057,0.084,0.9429,0.178,5.9491
5/8/2003,0,0,0,0.22,0.0527,0.081,0.6821,0.043,3.9765
5/9/2003,0,0,0,0.201,0.0416,0.07,0.538,0.032,3.7211
5/10/2003,0,0,0,0.196,0.0387,0.056,0.4199,0.03,3.2516
5/11/2003,0,0,0,0.192,0.0385,0.045,0.4258,0.026,3.1704
5/12/2003,0,0,0,0.192,0.0361,0.043,0.3691,0.018,2.9606
5/13/2003,0,0,0,0.092,0.046,0.042,0.2501,0.008,3.1239
5/14/2003,0,0,0,0.092,0.0431,0.042,0.2445,0.004,3.1195
5/15/2003,,0,0,0.094,0.0494,0.043,0.2701,0,3.1512
5/16/2003,0.4,0.4,0.8,0.094,0.0506,0.043,0.3035,0.019,3.3574
5/17/2003,0,0,0,0.133,0.0549,0.061,0.3228,0.042,3.2454
5/18/2003,0,0,0,0.11,0.0504,0.059,0.3079,0.026,2.8567
5/19/2003,3.5,13.5,6.7,0.101,0.0485,0.046,0.2735,0,3.4035
5/20/2003,0,0,0,0.102,0.0521,0.048,0.3286,0.064,3.6202
5/21/2003,0,0,0,0.104,0.0549,0.044,0.3172,0.02,3.3095
5/22/2003,0,0,0,0.104,0.0568,0.043,0.3273,0.01,3.2445
5/23/2003,0,0,0,0.104,0.0539,0.042,0.3357,0,3.2325
5/24/2003,20,14.4,13,0.104,0.0577,0.042,0.3238,0,2.993
5/25/2003,7.2,1,14.4,0.264,0.0694,0.15,0.7765,0.269,6.8835
5/26/2003,0.2,0,0,0.143,0.056,0.112,0.5118,0.111,4.1625
5/27/2003,,0,0,0.108,0.0522,0.096,0.4024,0.037,3.6354
5/28/2003,0,0,0,0.092,0.0483,0.086,0.3826,0.026,3.4356
5/29/2003,0,0,0,0.092,0.0519,0.083,0.3655,0.021,3.38
5/30/2003,0,0,0,0.092,0.0473,0.079,0.3418,0.018,3.2336
5/31/2003,0,0,0,0.092,0.039,0.08,0.3331,0.009,2.9674
6/1/2003,0,0,0,0.092,0.0444,0.068,0.3253,0,2.8065
6/2/2003,0,0,0,0.092,0.046,0.073,0.3289,0,3.0567
6/3/2003,0,0,0,0.048,0.0531,0.052,0.3313,0,3.1022
6/4/2003,0,0,0,0.017,0.057,0.047,0.3111,0,3.062
6/5/2003,,0,0,0.022,0.0568,0.043,0.3056,0,3.0954
6/6/2003,0,0,0,0.023,0.0582,0.045,0.3204,0,3.0851
6/7/2003,0,0,0,0.019,0.0557,0.042,0.3179,0,2.8212
6/8/2003,0,0,0,0.018,0.0613,0.041,0.3238,0,2.4991
6/9/2003,0,0,0,0.018,0.062,0.04,0.3243,0,2.828
6/10/2003,0,0,0,0.018,0.068,0.04,0.3336,0,3.0036
6/11/2003,0,0,0,0.014,0.0661,0.038,0.3179,0,2.9877
6/12/2003,0,0,,0.013,0.0657,0.038,0.2998,0,2.9628
6/13/2003,0,0,,0.013,0.0565,0.038,0.3978,0,3.0401
6/14/2003,,0,0,0.013,0.0352,0.038,0.3521,0,2.6664
6/15/2003,0,0,0,0.013,0.0144,0.037,0.3317,0,2.4943
6/16/2003,0,0,0,0.013,0.0157,0.037,0.3306,0,2.8853
6/17/2003,,0,0,0.01,0.0153,0.038,0.3345,0,2.995
6/18/2003,0,0,0,0.01,0.0115,0.039,0.3219,0,3.0158
6/19/2003,0,0,0,0.017,0.0105,0.038,0.2922,0,2.8923
6/20/2003,0,0,0,0.013,0.0114,0.038,0.2798,0,2.8528
6/21/2003,0,0,0,0.013,0.0138,0.037,0.273,0,2.5166
6/22/2003,0,0,0,0.013,0.0091,0.036,0.267,0,2.2784
6/23/2003,0,0,0,0.013,0.0097,0.036,0.2415,0,2.3125
6/24/2003,,0,0,0.013,0.0215,0.036,0.2178,0,2.1989
6/25/2003,0,0,0,0.013,0.0262,0.035,0.2287,0,2.751
6/26/2003,0,0,0,0.013,0.0402,0.035,0.2624,0,2.8743
6/27/2003,0,0,6.4,0.013,0.0459,0.035,0.3176,0,3.6983
6/28/2003,,0,0,0.053,0.0445,0.035,0.3118,0.02,2.8473
6/29/2003,0,0,0,0.018,0.0309,0.035,0.3083,0,2.3569
6/30/2003,0,0,0,0.016,0.0231,0.034,0.3148,0,2.7814
7/1/2003,0,0,,0.013,0.0269,0.033,0.2765,0,2.7658
7/2/2003,0,0,,0.013,0.0328,0.033,0.2588,0,2.7932
7/3/2003,1.5,0,,0.013,0.0341,0.032,0.2297,0,2.7292
7/4/2003,2.1,2.6,0,0.014,0.0342,0.034,0.2649,0,2.8412
7/5/2003,0,0,0,0.014,0.0267,0.033,0.2635,0,2.5062
7/6/2003,0,0,0,0.014,0.033,0.033,0.2513,0,2.1637
7/7/2003,0,0,,0.014,0.0317,0.032,0.2268,0,2.6374
7/8/2003,0.5,0.3,,0.011,0.0375,0.031,0.2738,0,2.7782
7/9/2003,0.2,0.2,,0.01,0.0402,0.031,0.2647,0,2.8681
7/10/2003,0,0,0,0.01,0.0331,0.03,0.2783,0,2.8565
7/11/2003,0,0,,0.009,0.024,0.03,0.2523,0,2.7392
7/12/2003,0,0,,0.008,0.0248,0.03,0.1608,0,2.3835
7/13/2003,0,0,,0.008,0.0239,0.03,0.1309,0,1.9825
7/14/2003,0,0,,0.007,0.0369,0.03,0.1231,0,2.4592
7/15/2003,0,0,,0.008,0.0528,0.03,0.1252,0,2.5575
7/16/2003,0,0,,0.008,0.0492,0.029,0.1244,0,2.543
7/17/2003,0,0,,0.009,0.0447,0.029,0.1315,0,2.5551
7/18/2003,0,0,0,0.009,0.0285,0.029,0.1376,0,2.6587
7/19/2003,0,0,0,0.009,0.0223,0.028,0.2027,0,2.4021
7/20/2003,,0,0,0.008,0.0357,0.028,0.2076,0,2.2258
7/21/2003,0,0,0,0.008,0.0268,0.027,0.2056,0,2.5493
7/22/2003,0,0,0,0.008,0.0373,0.026,0.1948,0,2.6592
7/23/2003,0,0,0,0.007,0.0405,0.027,0.1848,0,2.6443
7/24/2003,0,0,0,0.017,0.0484,0.027,0.1392,0,2.6143
7/25/2003,0,0,0,0.011,0.0537,0.027,0.1706,0,2.6316
7/26/2003,0,0,0,0.008,0.0354,0.026,0.1375,0,2.2937
7/27/2003,0,0,0,0.007,0.0364,0.026,0.1209,0,1.9851
7/28/2003,0,0,0,0.007,0.0433,0.01,0.1127,0,2.3408
7/29/2003,0,0,0,0.008,0.043,0,0.2999,0,2.5462
7/30/2003,0,0,0,0.072,0.0292,0,0.1516,0,2.4645
7/31/2003,0,0,0,0.3,0.0343,0.044,0.2527,0,2.876
8/1/2003,0,0,0,0.053,0.036,0.03,0.1745,0,2.5345
8/2/2003,0,0,0,0.033,0.0273,0.03,0.1377,0,2.0658
8/3/2003,0,0,0,0.022,0.0274,0.03,0.2255,0,1.9528
8/4/2003,0,0,0,0.016,0.027,0.03,0.6283,0,2.6347
8/5/2003,0,0,0,0.01,0.0226,0.03,0.8,0,2.8031
8/6/2003,0,0,0,0.009,0.0254,0.03,0.3505,0,2.3295
8/7/2003,0,0,0,0.009,0.024,0.029,0.2573,0,2.1985
8/8/2003,0,0,0,0.009,0.0212,0.029,0.4624,0,2.3803
8/9/2003,0,0,0,0.009,0.0218,0.029,0.2149,0,1.921
8/10/2003,0,0,0,0.009,0.0198,0.029,0.1779,0,1.7749
8/11/2003,0,0,0,0.009,0.0166,0.028,0.1506,0,1.9245
8/12/2003,0,0,0,0.009,0.0208,0.028,0.4351,0,2.1845
8/13/2003,0,0,0,0.009,0.0175,0.028,0.25,0,2.0205
8/14/2003,0,0,0,0.009,0.0138,0.027,0.2322,0,1.8953
8/15/2003,0,0,0,0.009,0.0196,0.026,0.2346,0,1.8814
8/16/2003,0,0,,0.009,0.0294,0.027,0.2379,0,1.822
8/17/2003,16.3,14.6,,0.3,0.0687,0.107,0.7581,0.234,10.3401
8/18/2003,0,0,0,0.145,0.0128,0.035,0.3641,0.085,5.0779
8/19/2003,0,0,0,0.039,0.0112,0.033,0.3281,0,3.6959
8/20/2003,0,0,0,0.03,0.0095,0.034,0.8003,0,3.7773
8/21/2003,,0,0,0.018,0.0095,0.034,1.0276,0,3.929
8/22/2003,0,0,0,0.018,0.0089,0.033,0.6782,0,3.4121
8/23/2003,0,0,0,0.018,0.0098,0.033,0.3326,0,2.7641
8/24/2003,0,0,0,0.016,0.0084,0.033,0.3109,0,2.6154
8/25/2003,0,0,0,0.013,0.0519,0.032,0.7513,0,3.2678
8/26/2003,0,0,0,0.016,0.082,0.031,0.3654,0,2.888
8/27/2003,0,0,0,0.016,0.0665,0.03,0.2876,0,2.8224
8/28/2003,0,0,0,0.018,0.0999,0.03,0.2511,0,2.7665
8/29/2003,0,0,0,0.017,0.0911,0.03,0.2925,0,2.7106
8/30/2003,0,0,,0.013,0.0921,0.03,0.354,0,2.5503
8/31/2003,15.1,16.7,,0.019,0.1136,0.03,1.0336,0,3.3236
9/1/2003,0,0,0,0.306,0.1082,0.147,0.9819,0.331,9.6687
9/2/2003,0.4,0,0,0.217,0.0073,0.041,0.4473,0,6.3212
9/3/2003,,0,0,0.097,0.007,0.036,0.4077,0,5.3198
9/4/2003,0.9,0.5,0,0.047,0.0073,0.036,0.6234,0,5.1635
9/5/2003,15.6,3.3,0,0.039,0.0077,0.036,0.5873,0,4.9576
9/6/2003,0,0,,0.038,0.0076,0.036,0.4462,0.035,5.7477
9/7/2003,23.6,6.1,,0.117,0.0364,0.188,1.1605,0.638,11.4942
9/8/2003,0.8,0.2,0,0.141,0.0117,0.076,0.937,0.153,5.3673
9/9/2003,0,0,0.5,0.065,0.0073,0.044,0.549,0.016,4.4702
9/10/2003,0,0,0,0.054,0.0069,0.039,0.7229,0,4.381
9/11/2003,0,0,0,0.05,0.0071,0.036,0.5198,0,3.7577
9/12/2003,0,0,0,0.045,0.007,0.035,0.423,0.039,3.5896
9/13/2003,0,0,0,0.041,0.007,0.035,0.6185,0,3.4904
9/14/2003,0,0,0,0.037,0.0068,0.035,0.6647,0,3.3621
9/15/2003,0,0,0,0.028,0.0394,0.035,0.4802,0,3.3583
9/16/2003,0,0,0.3,0.031,0.105,0.034,0.3547,0,3.3348
9/17/2003,0,0,0,0.028,0.1248,0.034,0.3406,0,3.2069
9/18/2003,0,0,0,0.026,0.1892,0.033,0.3388,0,3.1128
9/19/2003,0,0,0,0.027,0.125,0.033,0.3341,0,3.0731
9/20/2003,0,0,0,0.031,0.0425,0.032,0.3241,0,2.4971
9/21/2003,,0,0,0.024,0.0933,0.032,0.3089,0,2.5571
9/22/2003,1.5,2.7,0.2,0.027,0.0922,0.037,0.3112,0,3.037
9/23/2003,4.1,4,0.1,0.438,0.054,0.204,0.7831,0.433,5.2775
9/24/2003,0.4,0.8,0,0.099,0.0075,0.076,0.3547,0.046,3.1451
9/25/2003,0,0,0,0.08,0.0071,0.047,0.3457,0,2.9737
9/26/2003,0.2,0,,0.067,0.0072,0.044,0.341,0,2.9236
9/27/2003,27.5,24.5,,0.078,0.0152,0.104,0.968,0.192,4.1491
9/28/2003,2.5,0.3,0,0.095,0.0088,0.057,0.4451,0.058,3.1346
9/29/2003,0,0,,0.536,0.0099,0.085,0.5847,0.019,3.9115
9/30/2003,20.4,37.5,,0.133,0.0142,0.104,0.6241,0.146,4.1012
10/1/2003,0,0,0,0.641,0.0204,0.134,0.6572,0.386,5.1636
10/2/2003,0,0,0,0.203,0.0086,0.119,0.4099,0.092,3.5581
10/3/2003,0,0,0,0.121,0.0071,0.11,0.3545,0.013,3.3129
10/4/2003,,0,0,0.09,0.0078,0.098,0.3522,0.002,2.8549
10/5/2003,0,0,0,0.075,0.0079,0.081,0.3556,0,2.6008
10/6/2003,0,0,0.1,0.073,0.0084,0.068,0.3383,0,2.8808
10/7/2003,0,0,0,0.068,0.0096,0.058,0.7213,0,3.2932
10/8/2003,0,0,0,0.067,0.0091,0.048,0.3639,0,2.8855
10/9/2003,0,0,0,0.062,0.0119,0.045,0.331,0,3.796
10/10/2003,0,0,0,0.059,0.0116,0.05,0.3337,0,5.9206
10/11/2003,0,0,0.4,0.06,0.0101,0.046,0.3288,0,5.6834
10/12/2003,,0,0.8,0.06,0.0106,0.04,0.33,0,5.4853
10/13/2003,0,0,0.1,0.097,0.009,0.039,0.3378,0,6.1296
10/14/2003,5.6,6.2,1.1,0.178,0.0103,0.042,0.3416,0,6.1597
10/15/2003,4.6,3.7,5.7,0.099,0.1103,0.048,0.4061,0,7.0438
10/16/2003,46.9,31.3,38.4,0.261,,0.071,0.6968,0.058,7.9876
10/17/2003,26.3,0,29.6,0.876,,0.177,1.2099,1.051,34.1007
10/18/2003,,0,0.1,2.034,,0.188,1.4792,0.564,28.7781
10/19/2003,19.4,6,13.8,1.372,0.029,0.227,1.3809,0.421,25.2785
10/20/2003,0,0,0,1.313,0.0165,0.184,1.9791,0.243,20.9917
10/21/2003,4.6,0.5,0.9,0.766,0.0182,0.161,1.2451,0.046,16.7901
10/22/2003,10.2,4.6,7.6,0.432,0.0107,0.169,1.1337,0.189,9.6899
10/23/2003,0,0,0,0.311,0.0159,0.143,1.0847,0.058,8.1923
10/24/2003,0,0,0,0.199,0.009,0.132,0.7679,0.036,7.4783
10/25/2003,0,0,0.2,0.153,0.0127,0.128,0.6758,0.026,6.8984
10/26/2003,9.9,6.4,16.8,0.556,0.0445,0.196,0.9815,0.345,10.4557
10/27/2003,10.7,5.2,4.5,1.13,0.0407,0.18,1.1463,0.234,9.8343
10/28/2003,1.2,0.7,0.3,0.766,0.023,0.168,1.014,0.148,9.1888
10/29/2003,0,0.1,0,0.746,0.0318,0.164,0.8491,0.092,8.3783
10/30/2003,,0,0,0.447,0.0221,0.155,0.7351,0.079,7.8564
10/31/2003,11.4,4.2,1.2,0.742,0.0338,0.16,0.9924,0.104,8.7261
11/1/2003,0,2.1,0,1.111,0.0267,0.157,1.1193,0.079,8.7691
11/2/2003,0,0,0,0.714,0.106,0.154,1.0584,0.056,7.98
11/3/2003,0,0,0,0.46,0.0164,0.148,0.8667,0.041,7.691
11/4/2003,0,0,0,0.348,0.0173,0.14,0.7599,0.034,7.4523
11/5/2003,0,0,0,0.269,0.0162,0.137,0.7372,0.031,7.3332
11/6/2003,0,0,0,0.208,0.0267,0.135,0.7087,0.029,7.2195
11/7/2003,0,0,0,0.187,0.0136,0.138,0.7037,0.029,7.2861
11/8/2003,2,0,2.3,0.19,0.0964,0.131,0.6974,0.026,6.978
11/9/2003,0.1,0,0.6,0.234,0.0172,0.133,0.7678,0.039,7.3379
11/10/2003,0.5,0,0.2,0.192,0.0206,0.124,0.6764,0.027,7.026
11/11/2003,0,1,0,0.17,0.1151,0.118,0.7595,0.019,7.0416
11/12/2003,0,0,0,0.161,0.0204,0.114,0.6377,0.022,6.8712
11/13/2003,0,0.2,0,0.157,0.0168,0.11,0.6989,0.019,6.9377
11/14/2003,0,0,0,0.151,0.0219,0.108,0.6368,0.013,5.8415
11/15/2003,1,0.1,3.5,0.155,0.0237,0.106,0.6273,0.008,4.7638
11/16/2003,4.3,5.7,0.5,0.267,0.0381,0.134,0.6283,0.073,5.6824
11/17/2003,,0.1,0,0.238,0.0326,0.139,0.63,0.047,5.4421
11/18/2003,0,0,0,0.188,0.0291,0.138,0.6557,0.039,5.2197
11/19/2003,0,0,1.3,0.169,0.0242,0.136,0.569,0.041,5.036
11/20/2003,0,0,0,0.168,0.023,0.135,0.6212,0.04,5.0646
11/21/2003,0,0,0,0.162,0.018,0.134,0.5946,0.037,5.1267
11/22/2003,,0,0.1,0.163,0.017,0.129,0.5689,0.046,4.834
11/23/2003,5.4,2.1,9.6,0.169,0.0424,0.131,0.502,0.045,4.8437
11/24/2003,0,0,0,1.996,0.0878,0.366,1.4129,0.314,10.714
11/25/2003,0,0,0,1.372,0.0811,0.278,1.0756,0.195,8.1054
11/26/2003,0.7,0.4,3.6,1.102,0.0763,0.238,0.8757,0.107,7.2304
11/27/2003,0,0,0,0.84,0.0795,0.219,0.9693,0.127,7.4662
11/28/2003,0,0,0,0.583,0.0751,0.205,0.7983,0.086,6.2884
11/29/2003,0,0,0,0.448,0.0739,0.196,0.6452,0.071,5.7367
11/30/2003,2.6,1.3,2.9,0.381,0.0682,0.188,0.5361,0.075,5.2266
12/1/2003,4.6,7.1,5.4,0.672,0.0877,0.209,0.9279,0.254,7.5965
12/2/2003,0,1.3,0,0.69,0.0836,0.205,0.9958,0.161,6.9161
12/3/2003,19.7,15.3,17.9,0.773,0.0839,0.212,0.9665,0.133,7.3643
12/4/2003,4.6,1.1,10.2,11.258,0.3878,0.472,2.3191,1.481,54.9812
12/5/2003,1.3,0,1.4,1.793,0.2464,0.436,1.4286,0.961,26.4467
12/6/2003,0,0,,1.533,0.111,0.361,1.3479,0.462,20.2119
12/7/2003,4.6,1.8,,1.315,0.0958,0.323,1.2939,0.346,8.9322
12/8/2003,0,0,0,1.199,0.0862,0.295,1.3007,0.317,9.0154
12/9/2003,0,0,0,1.085,0.0755,0.27,1.26,0.221,8.3175
